date,index,ln_index,daily_return
2021-04-15,14038.76,9.549577354591122,0.01297093814803496
2021-04-16,14052.34,9.55054420893701,0.0009668543458882795
2021-04-19,13914.77,9.540706144897767,-0.009838064039243477
2021-04-20,13786.27,9.531428448340131,-0.00927769655763555
2021-04-21,13950.22,9.543250557734476,0.011822109394344693
2021-04-22,13818.41,9.533757040051597,-0.00949351768287876
2021-04-23,14016.81,9.548012602602222,0.0142555625506251
2021-04-26,14138.78,9.556676655671648,0.008664053069425748
2021-04-27,14090.22,9.553236218681405,-0.003440436990242546
2021-04-28,14051.03,9.550450981683415,-0.0027852369979903813
2021-04-29,14082.55,9.552691721268513,0.0022407395850976286
2021-04-30,13962.68,9.544143334968487,-0.008548386300025967
2021-05-03,13895.12,9.539292978339384,-0.0048503566291024924
2021-05-04,13633.5,9.520285278226934,-0.01900770011245001
2021-05-05,13582.42,9.516531588476434,-0.0037536897504999445
2021-05-06,13632.84,9.52023686688899,0.0037052784125553018
2021-05-07,13752.24,9.528956998917382,0.008720132028392058
2021-05-10,13401.86,9.503148782276496,-0.025808216640886172
2021-05-11,13389.43,9.502220868697725,-0.000927913578770756
2021-05-12,13031.68,9.475138595038722,-0.027082273659003064
2021-05-13,13124.99,9.482273325554772,0.00713473051605007
2021-05-14,13429.98,9.505244800312898,0.02297147475812622
2021-05-17,13379.05,9.501445329666726,-0.0037994706461716987
2021-05-18,13303.64,9.49579296097568,-0.005652368691047016
2021-05-19,13299.74,9.495499765146583,-0.00029319582909614894
2021-05-20,13535.74,9.513088873623703,0.017589108477119808
2021-05-21,13470.99,9.508293763362905,-0.004795110260797486
2021-05-24,13661.17,9.522312780994232,0.014019017631326847
2021-05-25,13657.17,9.522019937429903,-0.00029284356432945913
2021-05-26,13738.0,9.527920994773828,0.005901057343924876
2021-05-27,13736.28,9.527795786760933,-0.00012520801289461758
2021-05-28,13748.74,9.528702462532213,0.0009066757712794526
2021-06-01,13736.48,9.527810346637699,-0.0008921158945138785
2021-06-02,13756.33,9.529254360796253,0.0014440141585545518
2021-06-03,13614.51,9.51889141474299,-0.010362946053263045
2021-06-04,13814.49,9.533473320280867,0.014581905537877304
2021-06-07,13881.72,9.53832814569179,0.004854825410921748
2021-06-08,13924.91,9.541434601578906,0.003106455887117221
2021-06-09,13911.75,9.540489085774897,-0.0009455158040090339
2021-06-10,14020.33,9.54826369811471,0.007774612339812137
2021-06-11,14069.42,9.551758926799632,0.00349522868492258
2021-06-14,14174.14,9.559174456561438,0.007415529761805928
2021-06-15,14072.86,9.552003398819464,-0.0071710577419743515
2021-06-16,14039.68,9.549642885297269,-0.002360513522194907
2021-06-17,14161.35,9.558271701686289,0.008628816389020244
2021-06-18,14030.38,9.548980257547965,-0.009291444138323612
2021-06-21,14141.48,9.55686760158291,0.007887344034944732
2021-06-22,14253.27,9.564741633055949,0.007874031473038556
2021-06-23,14271.73,9.566035936479405,0.0012943034234567108
2021-06-24,14369.71,9.572877797936934,0.006841861457528964
2021-06-25,14360.39,9.572229001007795,-0.0006487969291395501
2021-06-28,14500.51,9.581939100203924,0.009710099196128752
2021-06-29,14528.33,9.583855815340808,0.001916715136884406
2021-06-30,14503.95,9.58217630510387,-0.001679510236938242
2021-07-01,14522.38,9.583446186792438,0.0012698816885681197
2021-07-02,14639.33,9.59146702144073,0.008020834648291952
2021-07-06,14663.64,9.59312623930002,0.0016592178592897966
2021-07-07,14665.06,9.593223072777201,9.683347718159041e-05
2021-07-08,14559.78,9.586018211746412,-0.007204861030789544
2021-07-09,14701.92,9.59573337648269,0.00971516473627787
2021-07-12,14733.24,9.597861444535985,0.002128068053295351
2021-07-13,14677.65,9.594081207610188,-0.003780236925797098
2021-07-14,14644.95,9.591850845121488,-0.0022303624886994555
2021-07-15,14543.13,9.584873996146214,-0.006976848975273953
2021-07-16,14427.24,9.576873365282555,-0.008000630863659097
2021-07-19,14274.98,9.566263633472442,-0.010609731810113487
2021-07-20,14498.88,9.581826684046087,0.015563050573645043
2021-07-21,14631.95,9.590962772897011,0.00913608885092465
2021-07-22,14684.6,9.594554604582816,0.0035918316858047916
2021-07-23,14836.99,9.604878665959868,0.010324061377051663
2021-07-26,14840.71,9.605129359242667,0.00025069328279947456
2021-07-27,14660.58,9.592917538095957,-0.012211821146710378
2021-07-28,14762.58,9.59985087962726,0.006933341531302872
2021-07-29,14778.26,9.60091246091422,0.0010615812869598784
2021-07-30,14672.68,9.593742540205255,-0.0071699207089643835
2021-08-02,14681.07,9.594314187795664,0.0005716475904087304
2021-08-03,14761.29,9.599763492709432,0.005449304913767605
2021-08-04,14780.53,9.601066053128548,0.0013025604191163609
2021-08-05,14895.12,9.608788921509694,0.0077228683811458865
2021-08-06,14835.76,9.604795761611554,-0.003993159898140419
2021-08-09,14860.18,9.606440431253569,0.0016446696420153728
2021-08-10,14788.09,9.601577406053691,-0.004863025199878024
2021-08-11,14765.14,9.600024276015901,-0.001553130037789785
2021-08-12,14816.26,9.603480505328099,0.0034562293121975785
2021-08-13,14822.9,9.603928561218419,0.00044805589032037574
2021-08-16,14793.76,9.601960749223197,-0.00196781199522178
2021-08-17,14656.18,9.592617368497882,-0.009343380725315598
2021-08-18,14525.91,9.583689230360054,-0.008928138137827446
2021-08-19,14541.79,9.58478185217601,0.0010926218159550416
2021-08-20,14714.66,9.59659955472615,0.011817702550141362
2021-08-23,14942.65,9.611974819128868,0.015375264402717193
2021-08-24,15019.8,9.617124609650245,0.00514979052137754
2021-08-25,15041.86,9.618592260070066,0.0014676504198209983
2021-08-26,14945.81,9.612186271978011,-0.006405988092055281
2021-08-27,15129.5,9.624401759309704,0.012215487331692643
2021-08-30,15265.89,9.633376206777628,0.008974447467924307
2021-08-31,15259.24,9.632940500190616,-0.0004357065870124188
2021-09-01,15309.38,9.636220991424151,0.0032804912335357983
2021-09-02,15331.18,9.637643942158626,0.001422950734474071
2021-09-03,15363.52,9.63975114711366,0.0021072049550348027
2021-09-07,15374.33,9.64045451448943,0.0007033673757703696
2021-09-08,15286.64,9.634734523302665,-0.005719991186765583
2021-09-09,15248.25,9.632220021352442,-0.0025145019502232913
2021-09-10,15115.49,9.62347532481579,-0.008744696536652441
2021-09-13,15105.58,9.622819490965089,-0.0006558338507005601
2021-09-14,15037.76,9.618319650241526,-0.004499840723562798
2021-09-15,15161.53,9.62651657758678,0.008196927345254679
2021-09-16,15181.92,9.62786052516486,0.0013439475780785415
2021-09-17,15043.97,9.618732525437746,-0.009127999727112979
2021-09-20,14713.9,9.596547904220644,-0.022184621217101963
2021-09-21,14746.4,9.598754264181963,0.0022063599613186824
2021-09-22,14896.85,9.60890506018746,0.010150796005497398
